overall_map,overall_thr,pos_overall_map,pos_overall_thr,overall_map_40,overall_thr_40,pos_overall_map_40,pos_overall_thr_40,class1_auc,overall_auc,vm,epoch
0.09794905008635578,0.45,0.25678208906352323,0.35000000000000003,0.19431029697474328,0.4,0.524852652259332,0.35000000000000003,0.7812661063693233,0.7812661063693233,0.09794905008635578,1
0.1848958333333333,0.4,0.3285363457760314,0.25,0.29419035846724345,0.35000000000000003,0.5535363457760314,0.2,0.8576145193505258,0.8576145193505258,0.1848958333333333,3
0.14086977806788512,0.35000000000000003,0.30217337917485265,0.25,0.24434290687554397,0.35000000000000003,0.5588081204977078,0.25,0.8435177345768403,0.8435177345768403,0.14086977806788512,5
0.18096790890269152,0.4,0.31166093647675186,0.35000000000000003,0.3019047619047619,0.4,0.529404060248854,0.35000000000000003,0.8655852993319364,0.8655852993319364,0.18096790890269152,7
0.1742961364570489,0.4,0.36649885396201703,0.3,0.26921496095355524,0.4,0.5946954813359528,0.3,0.8483699400802198,0.8483699400802198,0.1742961364570489,9
0.1892312616387337,0.5,0.3514734774066798,0.35000000000000003,0.30374109263657956,0.45,0.5904387688277668,0.35000000000000003,0.8692497877909227,0.8692497877909227,0.1892312616387337,11
0.18885928079242031,0.3,0.3286100196463654,0.2,0.2940353143841516,0.3,0.5319580877537655,0.2,0.8758988239421964,0.8758988239421964,0.18885928079242031,13
0.19972826086956522,0.35000000000000003,0.38995579567779964,0.25,0.30278104191147664,0.35000000000000003,0.6166994106090373,0.25,0.8748821817381421,0.8748821817381421,0.19972826086956522,15
0.2014951321279555,0.4,0.39971056693797363,0.2,0.3047277409860191,0.35000000000000003,0.6362802881466929,0.25,0.8790108605282401,0.8790108605282401,0.2014951321279555,17
0.22943667576170984,0.35000000000000003,0.3993123772102161,0.2,0.3490222828558435,0.35000000000000003,0.631237721021611,0.2,0.8865065536918931,0.8865065536918931,0.22943667576170984,19
0.19882860665844637,0.35000000000000003,0.40634413883431564,0.25,0.30785039046444723,0.35000000000000003,0.6591028159790437,0.25,0.8637481516834528,0.8637481516834528,0.19882860665844637,21
0.21163151996740015,0.4,0.426870497707924,0.25,0.31458842705786466,0.4,0.6617550753110674,0.25,0.8727976838427985,0.8727976838427985,0.21163151996740015,23
0.2126169495213229,0.4,0.42687049770792407,0.25,0.32555193630112195,0.35000000000000003,0.6726260641781271,0.25,0.879860786486613,0.879860786486613,0.2126169495213229,25
0.21560289221806075,0.4,0.4332637524557957,0.25,0.32511444028297964,0.4,0.6720694171578258,0.25,0.8778808948630694,0.8778808948630694,0.21560289221806075,27
0.21729439592430858,0.35000000000000003,0.43640717092337916,0.25,0.3268740902474527,0.35000000000000003,0.6692861820563196,0.25,0.8824171022537203,0.8824171022537203,0.21729439592430858,29
